Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
IBERIA,03-09-2025 17:04:46,Abarrotes,CHIVAS REGAL 12 ANOS WHISKY 750 ML,1950.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCO KRISPIS 28X290 GR,220.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCO RICA 500 ML PET (16.9FL.OZ),57.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCO RICA SIX PACK 200 ML,175.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLATE EMBAJADOR 10UD,120.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLATE EMBAJADOR 12/60,12.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLATE EMBAJADOR CON CANELA 10 UD,120.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLINA 12/1 / 16 OZ,175.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLITAS EL REY 16/360GR REF:1218,130.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCOLITAS EL REY 8/1000GR,235.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHOCORICA 1LT PET #457,105.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CHULETA AHUMADA LB,130.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CIRIO FILETE DE TOMATE 14.5OZ (411G),160.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CIRIO PASSATA PASTA CARTON 6/1 LT,195.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CIRIO SALSA RUSTICI NAPOLETANA 420 GR,155.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CIRIO TOMATE TRITURADO12/400 G.,100.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CLAVO DULCE ESPECIAS DE ORIENTE /85 GR,135.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CLORO CLOROX 128 OZ,155.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CLUB MAX GUARINA 40G 24/9,70.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CLUB SOCIAL INTEGRAL 234 GRS,80.0
IBERIA,03-09-2025 17:04:46,Abarrotes,CLUB SOCIAL INTEGRAL ARROZ SILVESTRE,75.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCA COLA 16 OZ(500ML).,35.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCA COLA LATA 12OZ (335ML),65.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCA COLA REFRESCO 2 LT,90.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCA COLA S/AZUCAR 2 LT,90.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCO SECO,58.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCOA NUTRIENTE ( SOLAMOYA ) SOBRE / 16,145.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCOA SOBRINO NATURAL 12/8 OZ SO,220.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCOA SOBRINO POMO VITAMINADO 8 OZ,130.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COCOA-SOBRINO POMO VITAMINADO 12/16,230.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COFFE MATE ORIGINAL 9X300ML,115.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COFFEE MATE ORIGILNAL NESTLE 170G,175.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COFFEE-MATE AVELLANA 6X15OZ,355.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COFFEE-MATE CARAMEL LATTE 6X15OZ,355.0
IBERIA,03-09-2025 17:04:46,Abarrotes,COFFEE-MATE NESTLE ORIG. SPANISH 12/624,395.0
